Wine,Price,Body,Tannins,Fruit,Acid
Diffonty Cuvée du Vatican Châteauneuf-du-Pape 2015,38.95,N/A,N/A,berry,high acidity
2027 Cellars Edgerock Vineyard Pinot Noir 2016,24.95,light body,N/A,berry,low acidity
Cathedral Cellar Shiraz 2015,17.95,full body,medium tannins,berry,N/A
Réserve des Tuileries Côtes du Roussillon 2013,21.95,N/A,N/A,berry,N/A
Henri de Villamont Les Renardes Corton Grand Cru 2015,120.0,full body,N/A,N/A,N/A
Ferraton La Tournée Rouge 2016,13.95,N/A,N/A,fruity,N/A
Château de France 2015,55.85,N/A,N/A,N/A,low acidity
Château Clarke 2015,52.85,medium body,N/A,berry,high acidity
Dr. Zenzen Hochgewächs 1636 Riesling 2016,19.95,N/A,N/A,N/A,high acidity
Paul Buisse Cristal Touraine Sauvignon Blanc 2016,16.95,N/A,N/A,citrus,N/A
Château La Couspaude 2015,89.75,N/A,low tannins,berry,N/A
Ca' di Rajo Pinot Grigio 2017,12.75,N/A,N/A,citrus,high acidity
Château Mouras 2005,43.0,N/A,N/A,N/A,N/A
Louis Jadot Puligny Montrachet 2015,104.0,N/A,N/A,N/A,high acidity
Di Meo Alessandra Fiano di Avellino 2010,32.0,full body,N/A,citrus,low acidity
Pine Ridge Fortis Napa Valley Cabernet Sauvignon 2013,255.0,full body,N/A,berry,N/A
Easy Rider Rocket Red can,3.1,N/A,N/A,N/A,N/A
The Bridge Cabernet Sauvignon,148.0,N/A,N/A,N/A,N/A
La Monacesca Mirum Riserva Verdicchio di Matelica 2014,41.0,full body,N/A,N/A,high acidity
Marchand-Tawse Pierre Virant Morey-Saint-Denis,63.0,N/A,N/A,N/A,N/A
Marchand-Tawse Chambolle-Musigny 2013,85.0,N/A,low tannins,N/A,N/A
Schloss Vollrads Riesling Auslese 2010,52.0,full body,N/A,citrus,N/A
Broadside Cabernet Sauvignon 2015,20.75,N/A,N/A,fruity,N/A
Moillard Chambolle-Musigny 1947,468.0,N/A,N/A,N/A,N/A
Puente del Ea Eridano Blanco 2017,15.85,light body,N/A,fruity,high acidity
Eridano Selected Vintage 2016,15.15,N/A,N/A,berry,high acidity
Cave Spring CSV Riesling 2016,29.95,N/A,N/A,citrus,N/A
Jules Côtes de Provence 2014,15.75,N/A,low tannins,berry,N/A
Château Latour 2006,1330.0,full body,medium tannins,fruity,N/A
Orin Swift Mercury Head Cabernet Sauvignon 2015,171.35,light body,N/A,berry,low acidity
Arco do Esporao Red 2016,14.45,N/A,N/A,N/A,low acidity
Portal Lagrima White,19.65,light body,N/A,citrus,high acidity
Chateau Ste. Michelle Rosé 2017,16.75,N/A,N/A,berry,high acidity
Pomar Junction Vineyard Syrah 2014,25.25,light body,N/A,N/A,low acidity
Domaine des Carabiniers Côtes du Rhône 2016,20.95,light body,low tannins,berry,high acidity
Domaine Lerys Pur Schistes Fitou 2015,20.95,full body,N/A,fruity,low acidity
Steininger Grünschnabel Grüner Veltliner 2016,19.95,N/A,N/A,fruity,high acidity
Château Bonnet 2016,16.95,N/A,N/A,citrus,high acidity
Estreia White Vinho Verde DOC 2017,10.85,N/A,low tannins,tropical fruit,high acidity
Esterházy Estoras Grüner Veltliner 2016,17.95,N/A,N/A,citrus,high acidity
Cave de Saint-Désirat Cuvée Côte-Diane Saint-Joseph 2015,26.95,N/A,N/A,N/A,high acidity
Estreia Rose Vinho Verde DOC 2017,10.85,N/A,low tannins,fruity,high acidity
Estreia Red Vinho Verde DOC 2017,10.85,N/A,N/A,citrus,high acidity
Quinta das Carvalhas Vintage Port 2013,77.0,N/A,N/A,berry,N/A
Estreia Alvarinho Loureiro White Colheita Selecionada 2017,13.85,N/A,N/A,tropical fruit,high acidity
Mire l'Étang Cuvée des Ducs de Fleury Réserve 2015,21.95,N/A,N/A,N/A,N/A
El Esteco Cabernet Sauvignon 2015,21.95,N/A,high tannins,N/A,low acidity
Milan Ma Terre Rosé 2017,34.05,N/A,N/A,N/A,high acidity
Indomita Gran Reserva Pinot Noir 2016,17.95,N/A,N/A,N/A,high acidity
Boya Chardonnay 2016,14.95,N/A,N/A,citrus,high acidity
Tabalí Pedregoso Gran Reserva Carmenère 2014,15.95,full body,N/A,fruity,high acidity
Tabalí Pedregoso Gran Reserva Cabernet Sauvignon 2015,15.95,full body,N/A,fruity,N/A
Borgogno Liste Barolo 2011,117.0,N/A,N/A,N/A,N/A
Casale del Giglio Satrico 2017,13.25,light body,N/A,fruity,high acidity
Louis Jadot Grands Epenots Pommard 1er Cru 2014,125.0,light body,N/A,citrus,high acidity
La Sangre de Jonata 2014,210.0,full body,medium tannins,fruity,N/A
Li Veli Passamante Negroamaro 2016,16.95,N/A,N/A,fruity,N/A
Robert Mondavi Winery Reserve Fumé Blanc 2014,60.0,N/A,N/A,citrus,high acidity
L'Expression de Pauillac 2014,43.95,full body,N/A,N/A,N/A
Kellerei Bozen Bolzano Chardonnay 2017,18.95,N/A,N/A,N/A,N/A
Seven Deadly Red 2015,18.75,light body,N/A,berry,N/A
Madfish Chardonnay 2017,16.95,N/A,low tannins,stone fruit,low acidity
Black Ops Shiraz/Saperavi/Nero d'Avola 2015,28.95,full body,N/A,berry,N/A
Kendall-Jackson Vintners Reserve Pinot Gris 2016,21.95,N/A,N/A,N/A,N/A
La Bohème Act Four Syrah/Gamay 2017,20.75,N/A,N/A,N/A,N/A
Amelia Park Reserve Cabernet Sauvignon 2014,76.0,N/A,low tannins,fruity,N/A
Andis Zinfandel 2014,24.95,N/A,N/A,fruity,N/A
Polkura Random Blend Cabernet Sauvignon/Syrah 2015,16.75,N/A,medium tannins,N/A,N/A
Domaine de Chevalier 2010,200.0,full body,low tannins,N/A,N/A
Cadence Bel Canto 2014,95.0,N/A,medium tannins,N/A,N/A
Angove Organic Shiraz,15.95,N/A,N/A,berry,low acidity
Cesari Adesso Chardonnay,8.75,full body,N/A,tropical fruit,N/A
Sand Point Sauvignon Blanc 2017,16.95,N/A,N/A,citrus,high acidity
Soumah Wild Savagnin 2015,31.95,full body,N/A,fruity,N/A
Forstreiter Classic Grüner Veltliner 2017,18.25,N/A,N/A,stone fruit,N/A
Forstreiter Exclusiv Zweigelt 2015,18.25,N/A,N/A,berry,low acidity
Beringer Brothers Bourbon Barrel Red Blend,18.85,N/A,low tannins,berry,low acidity
Pavillon Rouge du Château Margaux 2004,499.0,full body,N/A,fruity,N/A
Sola Nero White,14.75,N/A,N/A,citrus,low acidity
Coli Chianti Classico 2016,14.95,N/A,N/A,N/A,N/A
Capraia Effe 55 Gran Selezione Chianti Classico 2013,38.95,full body,N/A,berry,N/A
Castelli del Grevepesa Castelgreve Chianti Classico 2016,17.0,N/A,N/A,citrus,high acidity
Clemente VII Gran Selezione Chianti Classico 2012,34.95,N/A,N/A,fruity,N/A
Château Duhart-Milon 2010,266.0,full body,low tannins,fruity,N/A
Château Grand-Pontet 2010,90.0,full body,N/A,berry,N/A
Krupp Brothers The Doctor Red Blend 2014,157.0,full body,N/A,berry,N/A
Eklektós Cabernet 2015,37.95,light body,medium tannins,berry,N/A
Corte Medicea Cletus 2016,17.95,N/A,N/A,N/A,N/A
Viticcio Morellino di Scansano 2015,19.95,N/A,N/A,berry,high acidity
Checkmate Fool's Mate Chardonnay 2014,89.0,light body,low tannins,tropical fruit,low acidity
Checkmate Little Pawn Chardonnay 2014,114.0,N/A,N/A,N/A,high acidity
Salcheto Riserva Vino Nobile di Montepulciano 2012,37.95,N/A,N/A,berry,N/A
Paolo Conterno Anforti 2015,24.95,N/A,medium tannins,citrus,N/A
Senorio de Barahonda Carro 2016,14.95,N/A,N/A,fruity,high acidity
Galerie Latro Cabernet Sauvignon 2014,60.25,full body,N/A,fruity,N/A
Viñademoya Centenaria Mencía 2016,15.75,N/A,N/A,fruity,N/A
Clos de Tafall 2015,19.95,N/A,N/A,berry,high acidity
Burgo Viejo Garnacha 2017,14.95,light body,N/A,fruity,low acidity
Calados del Puntido Tempranillo 2013,39.95,N/A,low tannins,fruity,high acidity
Evening Land Summum Chardonnay 2015,150.0,N/A,medium tannins,citrus,N/A
Riolite Il Poggio Sannio Aglianico 2015,15.95,N/A,N/A,N/A,high acidity
Ashley Mary Limited Edition M de Minuty Rosé 2017,21.75,N/A,N/A,N/A,N/A
Roco Gravel Road Pinot Noir 2014,27.95,N/A,medium tannins,fruity,N/A
Lange Twins Old Vine Zinfandel 2015,24.95,full body,N/A,N/A,N/A
Round Pond Estate Reserve Cabernet Sauvignon 2015,175.0,N/A,medium tannins,berry,high acidity
Geografico Ferrante Governo All'Uso 2016,14.95,light body,low tannins,berry,high acidity
Armand de Brignac Blanc de Blancs Champagne,745.0,light body,N/A,N/A,high acidity
Lake Breeze Bernoota Shiraz/Cabernet Sauvignon 2015,27.95,N/A,N/A,fruity,high acidity
Sangenís I Vaqué Vall Por 2006,34.95,full body,high tannins,fruity,N/A
Salentein Reserve Chardonnay 2017,16.95,N/A,N/A,N/A,N/A
Dominus 2014,405.0,full body,N/A,N/A,N/A
Eisele Vineyard Cabernet Sauvignon 2014,730.0,light body,N/A,berry,N/A
Long Weekend Wine Co. Rosé,13.95,N/A,N/A,citrus,N/A
Tapiz Sparkling Torrontés,19.95,N/A,N/A,citrus,high acidity
Rashi Vineyards Joyvin White KPM,13.25,N/A,N/A,stone fruit,N/A
Rashi Vineyards Joyvin Red KPM,13.25,N/A,N/A,citrus,N/A
Agricola Cirelli Pecorino Montepulciano d'Abruzzo DOC,27.3,light body,N/A,N/A,low acidity
The Walking Dead Cabernet Sauvignon,24.95,medium body,low tannins,berry,high acidity
Pasquale Pelissero Cascina Crosa Barbaresco 2014,32.95,N/A,N/A,N/A,N/A
Ostertag Sylvaner 2016,29.6,N/A,N/A,N/A,N/A
Viña Diezmo RV Reserva 2012,21.95,N/A,medium tannins,berry,N/A
Diabolica White VQA,14.95,N/A,N/A,tropical fruit,high acidity
Dehesa La Granja 2004,46.0,N/A,low tannins,N/A,N/A
Andretta Brunello di Montalcino 2013,82.0,N/A,N/A,N/A,N/A
Andiamo Sparkling Wine,11.05,N/A,N/A,citrus,high acidity
Avalon Zinfandel 2016,17.95,N/A,N/A,N/A,N/A
Flying Goat Cellars Pinot Noir 2012,58.95,N/A,N/A,berry,high acidity
Dom Pérignon Brut Champagne 2009,281.95,N/A,N/A,berry,N/A
Peter Franus Zinfandel 2014,38.25,N/A,N/A,berry,high acidity
Pfeffingen Herrenberg GG Riesling 2016,54.0,full body,N/A,stone fruit,N/A
Butterfly Transcarpathia 2016,17.25,N/A,N/A,N/A,N/A
L Lambrusco White (Cedev Bvba),15.5,N/A,N/A,N/A,N/A
Lungarotti Rosso di Montefalco 2014,26.95,light body,N/A,N/A,N/A
Coli Vernaccia Di San Gimignano 2017,14.95,N/A,N/A,tropical fruit,high acidity
Fontanafredda Pradalupo Roero Arneis 2017,17.95,light body,N/A,stone fruit,N/A
Cecchi La Campana Montefalco Rosso 2014,14.95,N/A,high tannins,fruity,N/A
De Angelis Offida Pecorino 2016,15.95,N/A,low tannins,citrus,N/A
Valley of the Moon Pinot Blanc/Viognier 2015,19.95,N/A,N/A,citrus,N/A
Elvio Cogno Bordini Barbaresco 2014,49.0,full body,medium tannins,berry,high acidity
Teperberg Winery Impression Cabernet Sauvignon,22.95,N/A,N/A,N/A,N/A
Jerusalem Wineries Cabernet Sauvignon,18.05,N/A,N/A,N/A,N/A
Gavioli Moscato Rose Kpm (Cedev Bvba),16.15,N/A,N/A,N/A,N/A
Galil Mountain Red KP,19.95,N/A,N/A,N/A,N/A
La Spinona Sorì Gepin Barolo 2011,68.95,light body,N/A,berry,N/A
La Spinona Bergera Barolo 2012,62.0,full body,medium tannins,berry,N/A
Liberty School Cabernet Sauvignon 2016 & Chardonnay 2016,33.45,N/A,N/A,N/A,N/A
Ruffino Il Ducale Pinot Grigio 2017,19.95,N/A,N/A,stone fruit,high acidity
Burn Cottage Pinot Noir 2015,79.0,N/A,N/A,berry,high acidity
Casarena Owen's Vineyard Cabernet Sauvignon 2015,46.0,N/A,N/A,fruity,high acidity
Salentein Reserve Pinot Noir 2016,18.95,N/A,low tannins,berry,N/A
La Celia Elite Malbec 2015,24.95,N/A,medium tannins,N/A,N/A
Pondview Estate Winery Sauvignon Blanc 2016,17.95,N/A,N/A,tropical fruit,high acidity
Blandy's Duke of Clarence Rich Madeira,19.25,N/A,N/A,fruity,N/A
Château La Cabanne 2015,79.85,full body,N/A,N/A,N/A
Huff Estates South Bay Vineyards Cabernet Franc 2016,24.25,N/A,N/A,citrus,N/A
Leaning Post The Fifty Chardonnay 2016,22.95,full body,low tannins,stone fruit,N/A
Caparzo Brunello di Montalcino 2013,49.95,full body,N/A,berry,N/A
Particolare Spumante Brut,21.9,N/A,N/A,tropical fruit,low acidity
Cantina Colli del Soligo Pinot Grigio Marca Trevigiana IGT 2017,12.25,N/A,N/A,fruity,high acidity
Riverview Cellars Bianco Riesling/Gewurztraminer 2016,15.15,N/A,N/A,stone fruit,N/A
Clos Lentiscus Rosé 41N Brut Nature 2013,36.5,N/A,medium tannins,fruity,high acidity
Clos Lentiscus Rosé Brut Nature Penedes DO 2012,32.95,N/A,N/A,citrus,high acidity
Château L'Évangile 2010,645.0,full body,N/A,berry,N/A
Southbrook Triomphe Organic Riesling 2016,22.95,full body,N/A,citrus,high acidity
Kechris Kechribari Retsina,8.95,N/A,N/A,N/A,N/A
Peninsula Ridge Sparkling Riesling 2017,24.95,N/A,N/A,stone fruit,low acidity
Château Moulin Haut-Laroque 2008,56.0,N/A,N/A,N/A,N/A
Domaine des Tourelles Red 2014,19.95,N/A,N/A,berry,N/A
San Floriano Riserva Amarone della Valpolicella 2007,309.0,N/A,N/A,N/A,high acidity
Bostavan Dor Rara Neagra/Cabernet Sauvignon 2016,15.95,N/A,N/A,N/A,high acidity
Pocas Jr. Vintage Port 2015,58.0,full body,high tannins,berry,N/A
Marcel Deiss Alsace Blanc 2016,31.9,N/A,N/A,tropical fruit,high acidity
Marcel Deiss Riesling 2016,41.5,N/A,N/A,citrus,N/A
Marcel Deiss Grand Cru Mambourg 2014,131.1,N/A,N/A,citrus,N/A
Marcel Deiss Gewurztraminer 2015,43.5,light body,N/A,N/A,N/A
Marcel Deiss Pinot Gris 2014,40.75,N/A,N/A,N/A,high acidity
Lescure Volnay 2015,75.3,light body,N/A,berry,N/A
Biscardo Neropasso 2016,18.95,N/A,low tannins,berry,N/A
Barros Colheita Tawny Port 2005,34.95,N/A,N/A,stone fruit,N/A
Lustau Puerto Fino Sherry,23.95,N/A,N/A,N/A,low acidity
Lescure Chambolle Mombies 2015,96.35,N/A,N/A,citrus,low acidity
Sandeman Vau Vintage Port 1999,12.95,N/A,N/A,N/A,N/A
Marcel Deiss Berckem 2015,43.6,light body,N/A,citrus,low acidity
Lescure St Georges Vallerots 2015,117.65,N/A,low tannins,fruity,low acidity
Deiss Gruenspiel Le Jeu des Verts 2012,66.15,full body,medium tannins,N/A,N/A
Feudo Maccari Mahâris Syrah,45.0,N/A,N/A,N/A,N/A
Tenuta Rocca Bussia Barolo 2013,54.0,N/A,N/A,berry,high acidity
Marchesi di Barolo Sarmassa,188.0,N/A,N/A,N/A,N/A
Muros Antigos Alvarinho 2017,24.9,N/A,N/A,N/A,N/A
Anselmo Mendes Vinhão 2016,17.8,N/A,N/A,berry,low acidity
Korlat Cabernet Sauvignon 2014,31.6,N/A,N/A,berry,high acidity
Korlat Syrah Bencovac Stankovci 2014,31.6,N/A,N/A,N/A,N/A
Argot Estate Vineyard Chardonnay 2014,52.95,light body,medium tannins,stone fruit,N/A
Veuve Clicquot Ponsardin Vintage Brut Rosé Champagne 2008,109.95,full body,N/A,fruity,low acidity
Mauro Molino Chardonnay Langhe DOC 2016,27.95,N/A,N/A,citrus,high acidity
Túzko Kékfrankos 2015,18.95,light body,N/A,berry,N/A
Zacharias Assyrtiko 2017,13.95,light body,N/A,citrus,N/A
Casal Thaulero Sangiovese Terre Di Chieti IGT,7.95,N/A,N/A,berry,N/A
Powell & Son Riverside Grenache/Mataro/Shiraz 2016,26.95,N/A,medium tannins,berry,N/A
Piano dei Diani 2015,26.95,N/A,low tannins,berry,N/A
Luis Seabra Xisto Ilimitado Red 2016,27.1,N/A,N/A,fruity,N/A
Luis Seabra Granito Cru Albariño Vinho Verde 2016,40.8,light body,N/A,stone fruit,high acidity
Strewn Two Vines Cabernet Merlot VQA,13.95,N/A,N/A,berry,N/A
Stags' Leap Winery Petite Sirah 2015,57.95,full body,high tannins,berry,high acidity
1879 Boutari Legacy 2007,60.0,light body,N/A,N/A,N/A
Weinvert Class Gruner Veltliner DAC 2017,23.25,N/A,N/A,citrus,high acidity
Pelee Island Eco White VQA,8.95,N/A,N/A,citrus,high acidity
Pelee Island Monarch Vidal VQA,18.95,N/A,N/A,citrus,high acidity
Masi Costasera Amarone della Valpolicella Classico 1990,313.0,N/A,low tannins,berry,low acidity
Masi Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 1997,280.0,N/A,N/A,N/A,N/A
Masi Campolongo di Torbe Amarone della Valpolicella Classico 1997,330.0,full body,high tannins,N/A,high acidity
Semeli Mantinia Nassiakos 2017,22.2,N/A,N/A,citrus,N/A
Massimago Gastone Amarone 2014,64.45,N/A,low tannins,berry,N/A
Francis Coppola Diamond Collection Blue Label Merlot 2016,29.95,N/A,N/A,N/A,N/A
Masi Campolongo di Torbe Amarone della Valpolicella Classico 2006,206.0,N/A,high tannins,N/A,N/A
Orin Swift Abstract Grenache Blend 2016,48.3,light body,medium tannins,fruity,low acidity
Masi Campolongo di Torbe Amarone della Valpolicella Classico 2006,460.0,N/A,high tannins,N/A,N/A
La Croix Montjoie La Voluptueuse Vezélay 2016,47.7,full body,N/A,citrus,high acidity
Masi Mazzano Amarone della Valpolicella Classico 1997,346.0,N/A,N/A,N/A,high acidity
Gosset Grand Millésime Brut Champagne 2006,98.0,full body,N/A,N/A,high acidity
Masi Mazzano Amarone della Valpolicella Classico 2012,129.95,N/A,N/A,N/A,N/A
Rigamarole Red Blend VQA,16.45,N/A,medium tannins,berry,N/A
Rigamarole White Blend VQA,16.45,N/A,N/A,stone fruit,high acidity
Cloudy Bay Pinot Noir 2015,46.95,N/A,high tannins,fruity,high acidity
Loosen Bros. Dr. L Riesling 2017,14.95,N/A,N/A,N/A,N/A
Taylor Fladgate Century of Port Collection,299.95,full body,N/A,fruity,N/A
Ora Centurio Velletri DOP,8.4,N/A,N/A,berry,high acidity
Strawberry Moscato,13.9,N/A,N/A,berry,high acidity
Le Serre Nuove dell'Ornellaia 2016,64.95,N/A,N/A,N/A,N/A
Newton Unfiltered Cabernet Sauvignon 2014,88.95,full body,N/A,fruity,N/A
Arboleda Single Vineyard Cabernet Sauvignon 2016,19.95,N/A,low tannins,N/A,high acidity
Masi Grandarella Refosco 2014,28.95,N/A,N/A,N/A,N/A
Château la Couspaude,113.0,N/A,N/A,N/A,N/A
Sixto Uncovered Chardonnay 2015,48.25,N/A,N/A,stone fruit,high acidity
Soumah Chardonnay 2017,22.75,N/A,N/A,N/A,high acidity
Studert-Prüm Wehlener Sonnenuhr Riesling Spätlese 2013,27.0,N/A,N/A,N/A,N/A
Château Kirwan 2000,230.0,N/A,high tannins,fruity,low acidity
Meyer-Fonné Hinterburg de Katzenthal Pinot Gris 2015,54.0,light body,N/A,fruity,low acidity
Domaine Besson Vaudésir Grand Cru Chablis 2015,80.0,full body,N/A,fruity,N/A
Alvides Crianza 2012,19.95,N/A,N/A,fruity,high acidity
J. Vidal-Fleury Cote Rotie La Chatollonne Blonde 2009,121.15,N/A,N/A,fruity,N/A
J. Vidal-Fleury Crozes-Hermitage 2015,19.15,full body,N/A,N/A,high acidity
Amaury Perdrix Échezeaux Grand Cru 2014,315.0,full body,N/A,berry,N/A
Val Caudalies Lab Vermouth,25.95,full body,N/A,citrus,N/A
Aveleda Alvarinho 2017,14.95,N/A,N/A,citrus,high acidity
Poças Vale de Cavalos Red 2015,19.95,full body,low tannins,fruity,N/A
Anselmann Edesheimer Rosengarten Beerenauslese Riesling 2013,34.0,N/A,N/A,N/A,N/A
Bertrand Sauvignon Blanc 2017,14.15,N/A,N/A,citrus,N/A
Baron Blanc IGP Pays d'Oc 2017,13.75,N/A,N/A,stone fruit,N/A
Altoona Hills Cabernet/Shiraz KPM,14.95,N/A,N/A,berry,N/A
Mogen David Concord KP,13.95,N/A,N/A,berry,high acidity
Hermon Mount Hermon White Kp,26.95,N/A,N/A,N/A,N/A
Peter Lehmann Clancy's Red Blend Barossa,11.95,N/A,N/A,berry,low acidity
Pelee Island Eco Red VQA,9.3,N/A,low tannins,berry,N/A
Teperberg Israeli Cabernet Sauvignon/Merlot KPM,19.75,N/A,N/A,fruity,low acidity
Barkan Classic Petite Sirah KPM,18.65,N/A,N/A,berry,N/A
J. Viday-Fleury Chateauneuf-du-Pape 2013,132.85,N/A,low tannins,berry,N/A
J. Vidal-Fleury Vacqueyras 2016,35.95,N/A,N/A,berry,high acidity
J. Vidal-Fleury Vacqueyras 2016,19.9,N/A,N/A,berry,high acidity
J. Vidal-Fleury Gigondas 2016,28.05,N/A,N/A,citrus,N/A
The Calling Pinot Noir 2016,61.0,full body,N/A,berry,N/A
The Calling Dutton Ranch Chardonnay 2016,45.0,N/A,N/A,stone fruit,N/A
Ramey Chardonnay 2014,51.0,N/A,low tannins,N/A,high acidity
Francis Ford Coppola Director's Cut Chardonnay 2016,30.0,N/A,low tannins,fruity,high acidity
Boisset JCB French Kiss Sparkling Gamay,19.95,N/A,N/A,N/A,N/A
JCB Passion Cabernet Sauvignon/Petit Verdot 2015,84.95,medium body,N/A,fruity,high acidity
Masi Canevel Extra Dry Valdobbiadene Prosecco Superiore 2017,23.0,N/A,N/A,N/A,N/A
Bera Azienda Barbera D'Alba DOC 2017,23.55,N/A,N/A,berry,N/A
Bera Moscato D'Asti DOCG 2017,24.2,light body,N/A,fruity,low acidity
Henry of Pelham Speck Family Reserve Chardonnay 2016,29.95,full body,N/A,citrus,high acidity
Ernie Els Big Easy Cabernet Sauvignon 2017,16.95,N/A,medium tannins,fruity,low acidity
Reyneke Organic Red 2017,19.95,light body,N/A,fruity,high acidity
Zangaura Saperavi 2016,15.95,N/A,low tannins,berry,high acidity
Todoroff Boutique Mavrud 2016,15.95,N/A,N/A,fruity,high acidity
Cervarola Il Cenrino 2016,24.15,N/A,N/A,N/A,high acidity
Diabolica Red VQA,14.95,N/A,low tannins,berry,high acidity
Powers AVA Collection Cabernet Sauvignon 2014,24.95,full body,medium tannins,fruity,high acidity
Airfield Estates Red 2015,22.25,N/A,high tannins,berry,N/A
Hall Terra Secca Cabernet Sauvignon 2014,87.0,N/A,high tannins,berry,N/A
Fat Bastard Bloody Red,9.7,N/A,low tannins,N/A,low acidity
Santero 958 Day Of The Dead Sparkling,11.8,N/A,N/A,stone fruit,high acidity
Inniskillin Late Autumn Riesling VQA,25.95,N/A,N/A,stone fruit,N/A
Abaton Mount Athos Red 2014,30.85,N/A,N/A,N/A,N/A
Taittinger Nocturne Champagne,68.95,N/A,medium tannins,stone fruit,N/A
Apothic Brew Red,18.95,N/A,low tannins,berry,N/A
Agricola Cirelli Cerasuolo d'Abruzzo DOC Anfora 2017,44.2,full body,N/A,citrus,low acidity
Agricola Cirelli Montepulciano d'Abruzzo DOC Anfora 2017,44.2,full body,N/A,berry,low acidity
Leeuwin Estate Art Series Cabernet Sauvignon 2013,69.0,N/A,high tannins,fruity,high acidity
Angels Gate Sussreserve Riesling VQA,12.95,N/A,N/A,stone fruit,high acidity
Shobbrook Sunday 2017,46.9,N/A,low tannins,N/A,low acidity
Goldschild Ürziger Würzgarten Riesling Spätlese 2015,16.95,N/A,N/A,N/A,N/A
Ferdinando Dosset Vino Rosso 2017,20.15,N/A,N/A,berry,high acidity
Blason de Bourgogne Saint-Véran 2016,19.95,N/A,N/A,N/A,N/A
14-18h Agiorgitiko Rosé,16.95,N/A,N/A,berry,N/A
Ritinitis Nobilis Retsina,16.85,N/A,N/A,fruity,N/A
Anatolikos 2006,34.9,N/A,N/A,N/A,N/A
Marcel Cabelier Chateau Chalon Vin Jaune 2009,58.2,full body,N/A,stone fruit,N/A
Pelee Island Gewurztraminer,19.95,N/A,N/A,stone fruit,low acidity
Marqués de Caceres Rosado 2017,12.75,N/A,N/A,berry,N/A
Elderton Fifteen Shiraz 2015,300.0,N/A,low tannins,fruity,high acidity
Ca' Marcanda Bolgheri 2015,212.0,N/A,N/A,N/A,N/A
William Fèvre Espino Gran Cuvée Carmenère 2014,20.25,N/A,low tannins,fruity,N/A
Jean Geiler Brut Crémant d'Alsace,21.95,N/A,N/A,N/A,N/A
Sutherland Pinot Noir 2015,19.95,N/A,N/A,berry,high acidity
Masi Modello Brut Prosecco,17.95,N/A,N/A,stone fruit,high acidity
Batasiolo Brunate Barolo 2010,85.0,N/A,low tannins,berry,high acidity
Batasiolo Brunate Barolo 2009,80.0,full body,N/A,fruity,N/A
Batasiolo Metodo Classico 2012,47.0,N/A,N/A,N/A,N/A
Luce 2008,398.0,full body,high tannins,fruity,N/A
Château Palmer 2000,980.0,N/A,N/A,berry,high acidity
Château Palmer 2011,560.0,N/A,N/A,N/A,N/A
Château Palmer 2012,560.0,full body,N/A,berry,N/A
Château Palmer 2014,540.0,full body,N/A,fruity,N/A
Batasiolo Boscareto Barolo 2010,85.0,N/A,N/A,N/A,N/A
Goru el Blanco 2017,13.95,N/A,N/A,N/A,high acidity
"The Wanted Cab Cabernet Sauvignon, Vd'Italia",14.95,N/A,N/A,berry,low acidity
Osoyoos Larose Le Grand Vin 2014,47.95,N/A,medium tannins,N/A,high acidity
Arianna Occhipinti SP68 Bianco 2017,32.85,N/A,N/A,citrus,low acidity
Arianna Occhipinti Il Frappato 2016,52.9,light body,N/A,berry,high acidity
Arianna Occhipinti Siccagno Red 2015,50.5,light body,N/A,berry,high acidity
Arianna Occhipinti Grotte Alte 2013,81.85,full body,N/A,N/A,N/A
Bodega DiamAndes de Uco Grande Reserve Malbec/Cabernet 2013,47.0,N/A,N/A,N/A,N/A
Glaetzer Bishop Shiraz 2016,39.95,N/A,N/A,N/A,N/A
Southbrook Vidal Skin Fermented White Orange Wine 2017,29.95,N/A,N/A,citrus,N/A
Familia Furlottti Altamira Malbec 2014,44.0,N/A,medium tannins,N/A,low acidity
El Puño Blanco 2015,30.0,N/A,N/A,stone fruit,N/A
Château Lagrange 2010,158.0,N/A,N/A,berry,N/A
Fattori Col de la Bastia Amarone della Valpolicella 2013,62.0,N/A,N/A,berry,N/A
Château Duhart-Milon 2009,284.0,N/A,N/A,fruity,N/A
Real Companhia Velha Royal Oporto Vintage Port 2003,63.0,N/A,N/A,berry,N/A
Cloudfall Chardonnay 2016,23.95,N/A,N/A,fruity,high acidity
Argot Simpatico Ranch Chardonnay 2014,42.25,medium body,N/A,stone fruit,N/A
Gabarda Selección 2015,19.95,light body,N/A,N/A,high acidity
Foxen John Sebastiano Vineyard Pinot Noir 2015,45.75,N/A,N/A,berry,high acidity
Maison Jessiaume Santenay 2013,33.95,N/A,N/A,N/A,N/A
Il Palazzino Stagi 2012,37.95,N/A,N/A,berry,high acidity
Familia Schroeder Alpataco Chardonnay 2017,16.95,N/A,N/A,N/A,high acidity
Nemorino 2015,24.95,full body,low tannins,citrus,N/A
Cristal Rosé Champagne 2008,669.0,N/A,N/A,N/A,N/A
El Enemigo Single Vineyard Bonarda La Esperanza 2014,21.95,N/A,N/A,fruity,N/A
Azienda Agricola D'Uva Angelo Tintilia del Molise DOC 2016,32.95,N/A,N/A,N/A,high acidity
ZaHa El Corte 2014,24.95,N/A,N/A,N/A,high acidity
Werner Anselmann Gewürztraminer Kabinett 2017,15.95,N/A,N/A,N/A,N/A
